Date,Depth_to_Groundwater_SAL,Depth_to_Groundwater_CoS,Depth_to_Groundwater_LT2
21/07/2011,-6.04,-8.06,-13.1
22/07/2011,-6.22,-8.05,-13.1
23/07/2011,-6.23,-8.11,-13.09
24/07/2011,-6.16,-8.17,-13.07
21/09/2011,-6.27,-8.96,-13.35
22/09/2011,-6.28,-8.98,-13.34
23/09/2011,-6.28,-8.98,-13.33
24/09/2011,-6.3,-9.02,-13.34
25/09/2011,-6.28,-9.02,-13.36
26/09/2011,-6.25,-9.02,-13.39
27/09/2011,-6.26,-9.03,-13.41
28/09/2011,-6.26,-9.01,-13.41
29/09/2011,-6.29,-8.99,-13.41
30/09/2011,-6.29,-8.96,-13.41
01/10/2011,-6.31,-8.99,-13.41
02/10/2011,-6.31,-9.05,-13.4
03/10/2011,-6.32,-9.04,-13.4
04/10/2011,-6.32,-9.02,-13.4
05/10/2011,-6.32,-9.0,-13.39
06/10/2011,-6.33,-9.0,-13.38
07/10/2011,-6.27,-8.96,-13.31
08/10/2011,-6.34,-8.97,-13.33
09/10/2011,-6.34,-9.02,-13.35
10/10/2011,-6.32,-9.06,-13.41
11/10/2011,-6.34,-9.05,-13.4
12/10/2011,-6.36,-9.07,-13.39
13/10/2011,-6.36,-9.05,-13.38
14/10/2011,-6.39,-9.09,-13.43
15/10/2011,-6.41,-9.13,-13.46
16/10/2011,-6.4,-9.11,-13.46
17/10/2011,-6.37,-9.1,-13.47
18/10/2011,-6.41,-9.08,-13.46
19/10/2011,-6.4,-9.07,-13.44
20/10/2011,-6.41,-8.99,-13.4
21/10/2011,-6.39,-9.0,-13.44
22/10/2011,-6.39,-9.05,-13.45
23/10/2011,-6.38,-9.05,-13.43
24/10/2011,-6.35,-9.02,-13.4
25/10/2011,-6.33,-8.96,-13.37
26/10/2011,-6.27,-8.9,-13.38
27/10/2011,-6.19,-8.92,-13.42
28/10/2011,-6.14,-8.91,-13.46
29/10/2011,-6.18,-8.93,-13.46
30/10/2011,-6.16,-8.91,-13.44
31/10/2011,-6.15,-8.86,-13.43
01/11/2011,-6.16,-8.8,-13.42
02/11/2011,-6.13,-8.78,-13.42
03/11/2011,-6.13,-8.79,-13.4
04/11/2011,-6.14,-8.75,-13.38
05/11/2011,-6.14,-8.77,-13.37
06/11/2011,-6.1,-8.77,-13.35
07/11/2011,-6.06,-8.77,-13.41
08/11/2011,-5.9,-8.69,-13.43
09/11/2011,-5.86,-8.67,-13.44
10/11/2011,-5.83,-8.66,-13.43
11/11/2011,-5.83,-8.71,-13.44
12/11/2011,-5.84,-8.78,-13.5
13/11/2011,-5.85,-8.82,-13.51
14/11/2011,-5.85,-8.74,-13.48
15/11/2011,-5.86,-8.64,-13.43
16/11/2011,-5.89,-8.65,-13.42
17/11/2011,-5.91,-8.67,-13.45
18/11/2011,-5.92,-8.69,-13.46
19/11/2011,-5.94,-8.74,-13.45
20/11/2011,-5.97,-8.76,-13.44
21/11/2011,-5.96,-8.7,-13.43
22/11/2011,-5.99,-8.68,-13.41
23/11/2011,-6.0,-8.71,-13.42
24/11/2011,-6.02,-8.75,-13.47
25/11/2011,-6.04,-8.79,-13.48
26/11/2011,-6.05,-8.81,-13.47
27/11/2011,-6.07,-8.85,-13.48
28/11/2011,-6.06,-8.83,-13.46
29/11/2011,-6.09,-8.74,-13.44
30/11/2011,-6.1,-8.77,-13.45
01/12/2011,-6.1,-8.8,-13.46
02/12/2011,-6.1,-8.75,-13.41
03/12/2011,-6.11,-8.77,-13.38
04/12/2011,-6.09,-8.82,-13.36
05/12/2011,-6.06,-8.74,-13.33
06/12/2011,-6.02,-8.66,-13.32
07/12/2011,-5.97,-8.6,-13.37
08/12/2011,-5.94,-8.58,-13.39
09/12/2011,-5.94,-8.57,-13.41
10/12/2011,-5.94,-8.5,-13.37
11/12/2011,-5.93,-8.49,-13.37
12/12/2011,-5.94,-8.43,-13.33
13/12/2011,-5.92,-8.3,-13.32
14/12/2011,-5.89,-8.23,-13.33
15/12/2011,-5.89,-8.11,-13.31
16/12/2011,-5.86,-8.05,-13.27
17/12/2011,-5.8,-7.93,-13.16
18/12/2011,-5.71,-8.03,-13.26
19/12/2011,-5.68,-8.07,-13.29
20/12/2011,-5.67,-7.98,-13.31
21/12/2011,-5.68,-7.94,-13.31
22/12/2011,-5.7,-7.94,-13.34
23/12/2011,-5.73,-7.97,-13.37
24/12/2011,-5.75,-7.94,-13.33
25/12/2011,-5.78,-7.99,-13.39
26/12/2011,-5.77,-7.96,-13.45
27/12/2011,-5.81,-7.89,-13.44
28/12/2011,-5.82,-7.85,-13.41
29/12/2011,-5.84,-7.8,-13.34
30/12/2011,-5.86,-7.74,-13.28
31/12/2011,-5.9,-7.77,-13.32
01/01/2012,-5.93,-7.82,-13.35
02/01/2012,-5.93,-7.72,-13.32
03/01/2012,-5.93,-7.74,-13.33
04/01/2012,-5.92,-7.75,-13.31
05/01/2012,-5.92,-7.6,-13.21
06/01/2012,-5.91,-7.51,-13.21
07/01/2012,-5.91,-7.56,-13.31
08/01/2012,-5.92,-7.54,-13.29
09/01/2012,-5.94,-7.54,-13.35
10/01/2012,-5.95,-7.51,-13.38
11/01/2012,-5.97,-7.52,-13.41
12/01/2012,-5.98,-7.5,-13.39
15/01/2012,-6.02,-7.53,-13.31
16/01/2012,-6.04,-7.52,-13.33
17/01/2012,-6.06,-7.54,-13.38
18/01/2012,-6.07,-7.56,-13.41
19/01/2012,-6.09,-7.54,-13.4
20/01/2012,-6.1,-7.43,-13.29
21/01/2012,-6.12,-7.44,-13.29
22/01/2012,-6.12,-7.48,-13.28
23/01/2012,-6.12,-7.45,-13.29
24/01/2012,-6.13,-7.43,-13.29
25/01/2012,-6.14,-7.46,-13.34
26/01/2012,-6.16,-7.48,-13.35
27/01/2012,-6.17,-7.47,-13.38
28/01/2012,-6.19,-7.49,-13.37
29/01/2012,-6.19,-7.49,-13.34
30/01/2012,-6.18,-7.47,-13.36
20/02/2012,-6.37,-7.91,-13.48
29/05/2012,-5.96,-6.59,-13.4
30/05/2012,-5.94,-6.62,-13.36
02/06/2012,-5.96,-6.7,-13.36
03/06/2012,-5.99,-6.72,-13.35
04/06/2012,-6.0,-6.66,-13.3
28/06/2012,-6.32,-7.51,-13.53
29/06/2012,-6.33,-7.59,-13.55
30/06/2012,-6.34,-7.67,-13.57
01/07/2012,-6.32,-7.72,-13.58
02/07/2012,-6.32,-7.76,-13.6
03/07/2012,-6.34,-7.8,-13.62
09/08/2012,-6.27,-8.85,-14.01
10/08/2012,-6.26,-8.84,-13.99
11/08/2012,-6.24,-8.8,-13.98
12/08/2012,-6.23,-8.77,-13.98
13/08/2012,-6.22,-8.72,-13.97
14/08/2012,-6.24,-8.77,-13.98
15/08/2012,-6.22,-8.78,-13.99
16/08/2012,-6.21,-8.7,-14.01
17/08/2012,-6.22,-8.73,-14.02
18/08/2012,-6.23,-8.81,-14.04
19/08/2012,-6.23,-8.82,-14.06
20/08/2012,-6.24,-8.8,-14.05
21/08/2012,-6.27,-8.88,-14.04
22/08/2012,-6.28,-8.9,-14.04
23/08/2012,-6.28,-8.88,-14.03
26/08/2012,-6.26,-8.86,-14.02
27/08/2012,-6.18,-8.87,-14.07
28/08/2012,-6.16,-8.86,-14.08
29/08/2012,-6.18,-9.28,-14.08
30/08/2012,-6.2,-9.57,-14.06
31/08/2012,-6.18,-9.49,-14.02
01/09/2012,-6.14,-9.53,-14.04
02/09/2012,-6.13,-9.53,-14.08
03/09/2012,-6.1,-9.43,-14.04
04/09/2012,-6.07,-9.37,-14.03
05/09/2012,-6.07,-9.36,-14.03
06/09/2012,-6.07,-9.24,-14.07
07/09/2012,-6.06,-9.29,-14.09
08/09/2012,-6.07,-9.34,-14.07
09/09/2012,-6.06,-9.3,-14.06
10/09/2012,-6.07,-9.3,-14.07
11/09/2012,-6.09,-9.28,-14.06
12/09/2012,-6.09,-9.26,-14.0
13/09/2012,-6.09,-9.21,-13.96
14/09/2012,-6.08,-9.21,-13.99
15/09/2012,-6.08,-9.25,-14.04
16/09/2012,-6.07,-9.28,-14.07
17/09/2012,-6.08,-9.34,-14.07
03/10/2012,-5.99,-9.12,-14.09
04/10/2012,-6.01,-9.08,-14.08
05/10/2012,-6.03,-9.07,-14.09
06/10/2012,-6.05,-9.09,-14.08
07/10/2012,-6.03,-9.07,-14.04
08/10/2012,-6.03,-9.04,-14.02
09/10/2012,-6.02,-8.96,-13.96
23/10/2012,-5.94,-8.26,-13.9
24/10/2012,-5.95,-8.25,-13.88
25/10/2012,-5.9,-8.25,-13.87
26/10/2012,-5.94,-8.19,-13.8
27/10/2012,-5.91,-8.09,-13.66
28/10/2012,-5.8,-7.85,-13.72
29/10/2012,-5.72,-7.66,-13.8
30/10/2012,-5.7,-7.58,-13.83
31/10/2012,-5.69,-7.45,-13.74
01/11/2012,-5.66,-7.3,-13.71
02/11/2012,-5.62,-7.14,-13.81
03/11/2012,-5.61,-7.1,-13.84
04/11/2012,-5.59,-7.02,-13.78
05/11/2012,-5.48,-6.85,-13.75
06/11/2012,-5.35,-6.82,-13.82
07/11/2012,-5.3,-6.81,-13.89
08/11/2012,-5.27,-6.8,-13.89
09/11/2012,-5.27,-6.79,-13.84
10/11/2012,-5.27,-6.78,-13.79
11/11/2012,-4.25,-6.65,-13.74
12/11/2012,-4.64,-6.33,-13.78
13/11/2012,-4.71,-6.18,-13.79
14/11/2012,-4.69,-6.05,-13.76
15/11/2012,-4.72,-5.96,-13.72
16/11/2012,-4.77,-5.88,-13.7
17/11/2012,-4.83,-5.87,-13.68
18/11/2012,-4.87,-5.83,-13.65
19/11/2012,-4.91,-5.75,-13.65
20/11/2012,-4.95,-5.74,-13.68
21/11/2012,-4.99,-5.76,-13.7
22/11/2012,-5.04,-5.83,-13.73
23/11/2012,-5.09,-5.86,-13.74
24/11/2012,-5.15,-5.95,-13.74
25/11/2012,-5.2,-6.0,-13.72
26/11/2012,-5.23,-5.96,-13.69
27/11/2012,-5.25,-5.91,-13.6
28/11/2012,-5.23,-5.74,-13.48
29/11/2012,-5.13,-5.59,-13.47
30/11/2012,-5.06,-5.56,-13.53
01/12/2012,-5.04,-5.6,-13.61
02/12/2012,-4.99,-5.52,-13.6
03/12/2012,-4.96,-5.49,-13.66
04/12/2012,-4.31,-5.35,-13.57
05/12/2012,-4.63,-5.18,-13.55
06/12/2012,-4.66,-5.22,-13.6
07/12/2012,-4.65,-5.22,-13.59
08/12/2012,-4.64,-5.23,-13.56
09/12/2012,-4.65,-5.27,-13.64
10/12/2012,-4.69,-5.19,-13.57
11/12/2012,-4.74,-5.19,-13.6
12/12/2012,-4.77,-5.25,-13.65
13/12/2012,-4.8,-5.27,-13.66
14/12/2012,-4.83,-5.24,-13.61
15/12/2012,-4.73,-5.13,-13.56
16/12/2012,-4.45,-5.04,-13.56
17/12/2012,-3.87,-4.93,-13.5
18/12/2012,-4.18,-4.9,-13.49
19/12/2012,-4.23,-4.93,-13.54
20/12/2012,-4.29,-4.92,-13.53
21/12/2012,-4.35,-4.9,-13.47
22/12/2012,-4.43,-5.0,-13.52
23/12/2012,-4.49,-5.07,-13.52
24/12/2012,-4.55,-5.06,-13.53
04/01/2013,-4.96,-5.11,-13.55
05/01/2013,-4.98,-5.13,-13.49
06/01/2013,-4.99,-5.15,-13.48
07/01/2013,-5.0,-5.17,-13.47
08/01/2013,-5.02,-5.23,-13.49
09/01/2013,-5.03,-5.22,-13.46
10/01/2013,-5.04,-5.19,-13.39
11/01/2013,-5.05,-5.18,-13.37
12/01/2013,-5.09,-5.25,-13.42
13/01/2013,-5.09,-5.26,-13.37
14/01/2013,-5.04,-5.11,-13.34
15/01/2013,-4.92,-4.98,-13.32
16/01/2013,-4.78,-4.86,-13.23
17/01/2013,-4.69,-4.85,-13.24
18/01/2013,-4.66,-4.92,-13.27
19/01/2013,-4.69,-4.99,-13.27
20/01/2013,-4.64,-4.9,-13.22
21/01/2013,-4.43,-4.84,-13.22
13/02/2013,-4.78,-5.13,-13.2
14/02/2013,-4.77,-5.16,-13.25
15/02/2013,-4.8,-5.19,-13.23
16/02/2013,-4.85,-5.24,-13.26
28/02/2013,-5.03,-5.28,-13.23
01/03/2013,-5.04,-5.28,-13.18
02/03/2013,-5.07,-5.36,-13.17
03/03/2013,-5.09,-5.39,-13.19
04/03/2013,-5.1,-5.36,-13.2
05/03/2013,-5.12,-5.34,-13.2
06/03/2013,-5.11,-5.24,-13.1
07/03/2013,-5.04,-5.16,-13.07
08/03/2013,-4.94,-5.12,-13.05
09/03/2013,-4.82,-5.13,-13.04
10/03/2013,-4.72,-5.11,-13.02
11/03/2013,-4.61,-5.04,-13.0
12/03/2013,-4.46,-4.93,-12.97
13/03/2013,-4.3,-4.88,-12.92
14/03/2013,-4.15,-4.8,-12.86
15/03/2013,-4.15,-4.91,-12.94
16/03/2013,-4.24,-5.05,-13.0
17/03/2013,-4.28,-5.04,-12.95
18/03/2013,-4.08,-4.68,-12.79
19/03/2013,-3.75,-4.53,-12.83
20/03/2013,-3.78,-4.61,-12.81
21/03/2013,-3.87,-4.66,-12.83
22/03/2013,-3.97,-4.67,-12.82
09/04/2013,-4.48,-5.07,-12.74
10/04/2013,-4.46,-5.1,-12.76
11/04/2013,-4.49,-5.14,-12.77
12/04/2013,-4.52,-5.1,-12.74
13/04/2013,-4.57,-5.21,-12.81
14/04/2013,-4.6,-5.29,-12.84
15/04/2013,-4.64,-5.26,-12.8
16/04/2013,-4.68,-5.28,-12.79
17/04/2013,-4.71,-5.28,-12.8
18/04/2013,-4.75,-5.41,-12.78
19/04/2013,-4.79,-5.37,-12.74
20/04/2013,-4.82,-5.44,-12.74
22/04/2013,-4.87,-5.39,-12.73
23/04/2013,-4.91,-5.43,-12.79
24/04/2013,-4.94,-5.52,-12.82
25/04/2013,-4.98,-5.58,-12.79
27/04/2013,-5.02,-5.54,-12.67
28/04/2013,-4.99,-5.56,-12.69
29/04/2013,-4.96,-5.62,-12.7
30/04/2013,-4.95,-5.66,-12.71
01/05/2013,-4.98,-5.75,-12.7
02/05/2013,-4.98,-5.73,-12.69
03/05/2013,-5.01,-5.74,-12.68
04/05/2013,-5.05,-5.83,-12.69
05/05/2013,-5.06,-5.88,-12.7
06/05/2013,-5.07,-5.82,-12.68
07/05/2013,-5.08,-5.8,-12.68
08/05/2013,-5.1,-5.82,-12.68
09/05/2013,-5.13,-5.9,-12.69
10/05/2013,-5.16,-5.92,-12.68
11/05/2013,-5.19,-5.97,-12.67
12/05/2013,-5.2,-6.02,-12.68
13/05/2013,-5.21,-6.0,-12.7
14/05/2013,-5.22,-6.06,-12.69
15/05/2013,-5.24,-6.11,-12.65
16/05/2013,-5.22,-6.01,-12.58
17/05/2013,-5.15,-5.92,-12.62
18/05/2013,-5.1,-5.97,-12.67
19/05/2013,-5.06,-5.93,-12.68
20/05/2013,-5.04,-5.87,-12.71
21/05/2013,-5.04,-5.91,-12.68
22/05/2013,-5.04,-5.9,-12.61
23/05/2013,-5.05,-5.85,-12.6
24/05/2013,-5.08,-5.84,-12.63
25/05/2013,-5.1,-5.92,-12.65
26/05/2013,-5.1,-5.93,-12.68
27/05/2013,-5.09,-5.92,-12.69
28/05/2013,-5.1,-5.91,-12.64
29/05/2013,-5.11,-5.9,-12.62
30/05/2013,-5.11,-5.9,-12.62
31/05/2013,-5.09,-5.85,-12.61
01/06/2013,-5.1,-5.9,-12.62
02/06/2013,-5.09,-5.98,-12.65
03/06/2013,-5.1,-5.96,-12.68
04/06/2013,-5.12,-5.95,-12.68
05/06/2013,-5.14,-5.9,-12.69
06/06/2013,-5.17,-5.89,-12.69
07/06/2013,-5.21,-5.9,-12.69
08/06/2013,-5.23,-5.92,-12.68
09/06/2013,-5.22,-5.88,-12.67
10/06/2013,-5.21,-5.76,-12.67
11/06/2013,-5.25,-5.8,-12.69
12/06/2013,-5.26,-5.86,-12.71
13/06/2013,-5.29,-5.9,-12.72
14/06/2013,-5.32,-5.98,-12.72
15/06/2013,-5.34,-6.1,-12.73
16/06/2013,-5.34,-6.16,-12.74
17/06/2013,-5.38,-6.22,-12.73
18/06/2013,-5.42,-6.34,-12.73
19/06/2013,-5.45,-6.43,-12.75
20/06/2013,-5.48,-6.52,-12.75
21/06/2013,-5.49,-6.56,-12.77
22/06/2013,-5.49,-6.6,-12.78
23/06/2013,-5.47,-6.6,-12.76
24/06/2013,-5.47,-6.55,-12.75
25/06/2013,-5.46,-6.6,-12.77
26/06/2013,-5.46,-6.65,-12.78
27/06/2013,-5.47,-6.58,-12.78
28/06/2013,-5.49,-6.54,-12.76
29/06/2013,-5.49,-6.57,-12.77
30/06/2013,-5.47,-6.61,-12.77
01/07/2013,-5.49,-6.66,-12.77
02/07/2013,-5.53,-6.76,-12.76
03/07/2013,-5.54,-6.82,-12.75
04/07/2013,-5.54,-6.82,-12.76
05/07/2013,-5.58,-6.88,-12.79
06/07/2013,-5.61,-6.99,-12.79
07/07/2013,-5.6,-7.01,-12.8
08/07/2013,-5.62,-6.99,-12.8
09/07/2013,-5.68,-7.02,-12.77
10/07/2013,-5.69,-7.03,-12.73
11/07/2013,-5.69,-7.03,-12.73
12/07/2013,-5.7,-7.08,-12.77
13/07/2013,-5.71,-7.18,-12.79
14/07/2013,-5.68,-7.24,-12.81
15/07/2013,-5.7,-7.2,-12.82
16/07/2013,-5.71,-7.21,-12.84
17/07/2013,-5.72,-7.22,-12.84
18/07/2013,-5.73,-7.36,-12.84
19/07/2013,-5.73,-7.3,-12.84
20/07/2013,-5.74,-7.28,-12.84
21/07/2013,-5.69,-7.26,-12.84
22/07/2013,-5.71,-7.25,-12.83
23/07/2013,-5.84,-7.29,-12.83
24/07/2013,-5.9,-7.38,-12.86
25/07/2013,-5.91,-7.53,-12.87
26/07/2013,-5.91,-7.61,-12.86
27/07/2013,-5.92,-7.67,-12.86
28/07/2013,-5.9,-7.67,-12.88
29/07/2013,-5.9,-7.65,-12.89
30/07/2013,-5.89,-7.64,-12.89
31/07/2013,-5.9,-7.71,-12.89
01/08/2013,-5.92,-7.82,-12.89
02/08/2013,-5.93,-7.92,-12.9
05/08/2013,-5.92,-7.98,-12.93
06/08/2013,-5.86,-7.98,-12.91
07/08/2013,-5.81,-8.06,-12.9
08/08/2013,-5.8,-8.12,-12.92
09/08/2013,-5.79,-8.12,-12.91
10/08/2013,-5.78,-8.15,-12.91
13/08/2013,-5.78,-8.17,-12.94
14/08/2013,-5.79,-8.23,-12.94
16/08/2013,-5.76,-8.1,-12.96
18/08/2013,-5.74,-8.21,-12.96
19/08/2013,-5.76,-8.29,-12.95
21/08/2013,-5.73,-8.28,-12.95
22/08/2013,-5.76,-8.28,-12.93
23/08/2013,-5.8,-8.27,-12.92
24/08/2013,-5.8,-8.28,-12.91
25/08/2013,-5.78,-8.28,-12.86
26/08/2013,-5.71,-8.23,-12.89
27/08/2013,-5.69,-8.15,-12.89
28/08/2013,-5.68,-8.14,-12.91
29/08/2013,-5.7,-8.12,-12.94
30/08/2013,-5.74,-8.18,-12.94
07/09/2013,-5.81,-8.35,-13.0
08/09/2013,-5.8,-8.44,-13.02
09/09/2013,-5.78,-8.27,-12.99
10/09/2013,-5.78,-8.19,-12.97
19/09/2013,-5.73,-7.96,-12.88
20/09/2013,-5.75,-8.02,-12.94
21/09/2013,-5.77,-8.11,-12.99
22/09/2013,-5.75,-8.17,-13.01
23/09/2013,-5.75,-8.1,-12.98
24/09/2013,-5.76,-8.11,-12.96
12/11/2013,-5.35,-6.81,-12.75
13/11/2013,-5.34,-6.82,-12.75
14/11/2013,-5.34,-6.8,-12.73
15/11/2013,-5.35,-6.7,-12.72
16/11/2013,-5.38,-6.77,-12.76
17/11/2013,-5.39,-6.78,-12.75
18/11/2013,-5.39,-6.65,-12.68
19/11/2013,-5.4,-6.59,-12.6
20/11/2013,-5.42,-6.59,-12.61
21/11/2013,-5.45,-6.54,-12.57
22/11/2013,-5.43,-6.36,-12.55
23/11/2013,-5.32,-6.26,-12.55
24/11/2013,-5.26,-6.25,-12.62
25/11/2013,-5.23,-6.21,-12.68
26/11/2013,-5.23,-6.25,-12.73
27/11/2013,-5.23,-6.35,-12.77
29/11/2013,-5.28,-6.34,-12.75
30/11/2013,-5.3,-6.37,-12.68
01/12/2013,-5.31,-6.33,-12.68
03/12/2013,-5.34,-6.36,-12.75
20/03/2014,-4.97,-5.41,-12.15
21/03/2014,-5.03,-5.47,-12.13
22/03/2014,-5.04,-5.49,-12.09
23/03/2014,-5.04,-5.38,-12.0
24/03/2014,-4.97,-5.31,-12.03
25/03/2014,-4.95,-5.3,-12.04
26/03/2014,-4.94,-5.25,-12.03
27/03/2014,-4.94,-5.18,-12.01
28/03/2014,-4.98,-5.2,-12.08
29/03/2014,-5.06,-5.31,-12.12
30/03/2014,-5.08,-5.35,-12.11
31/03/2014,-5.08,-5.29,-12.1
01/04/2014,-5.07,-5.34,-12.1
02/04/2014,-5.11,-5.33,-12.08
03/04/2014,-5.12,-5.29,-12.04
04/04/2014,-5.13,-5.25,-12.0
05/04/2014,-5.16,-5.3,-12.03
06/04/2014,-5.15,-5.35,-12.08
07/04/2014,-5.17,-5.35,-12.1
08/04/2014,-5.2,-5.38,-12.1
09/04/2014,-5.18,-5.35,-12.09
10/04/2014,-5.26,-5.33,-12.1
11/04/2014,-5.25,-5.3,-12.09
12/04/2014,-5.28,-5.34,-12.08
13/04/2014,-5.29,-5.33,-12.08
14/04/2014,-5.33,-5.25,-12.08
19/09/2014,-5.64,-7.09,-12.33
20/09/2014,-5.62,-6.95,-12.31
21/09/2014,-5.57,-6.85,-12.31
22/09/2014,-5.56,-6.67,-12.27
23/09/2014,-5.56,-6.68,-12.32
24/09/2014,-5.55,-6.65,-12.33
25/09/2014,-5.53,-6.62,-12.32
26/09/2014,-5.61,-6.65,-12.36
27/09/2014,-5.58,-6.73,-12.38
28/09/2014,-5.57,-6.77,-12.39
29/09/2014,-5.55,-6.8,-12.4
30/09/2014,-5.55,-6.73,-12.38
01/10/2014,-5.56,-6.67,-12.36
02/10/2014,-5.54,-6.67,-12.35
03/10/2014,-5.57,-6.68,-12.33
04/10/2014,-5.58,-6.7,-12.31
05/10/2014,-5.55,-6.8,-12.29
06/10/2014,-5.55,-6.7,-12.29
07/10/2014,-5.57,-6.68,-12.31
08/10/2014,-5.6,-6.69,-12.32
09/10/2014,-5.62,-6.75,-12.31
10/10/2014,-5.61,-6.77,-12.31
11/10/2014,-5.65,-6.8,-12.31
12/10/2014,-5.59,-6.78,-12.3
13/10/2014,-5.57,-6.62,-12.27
14/10/2014,-5.52,-6.46,-12.23
15/10/2014,-5.51,-6.31,-12.21
16/10/2014,-5.5,-6.24,-12.24
17/10/2014,-5.52,-6.18,-12.25
18/10/2014,-5.48,-6.2,-12.29
19/10/2014,-5.45,-6.21,-12.3
20/10/2014,-5.43,-6.13,-12.28
21/10/2014,-5.43,-6.03,-12.2
22/10/2014,-5.43,-6.03,-12.18
20/11/2014,-4.5,-5.21,-12.12
21/11/2014,-4.52,-5.23,-12.11
22/11/2014,-4.57,-5.24,-12.1
23/11/2014,-4.59,-5.28,-12.11
24/11/2014,-4.65,-5.29,-12.09
25/11/2014,-4.71,-5.29,-12.06
26/11/2014,-4.72,-5.24,-12.02
27/11/2014,-4.72,-5.2,-11.99
13/01/2015,-5.3,-5.58,-12.04
14/01/2015,-5.3,-5.54,-11.99
15/01/2015,-5.26,-5.54,-11.99
16/01/2015,-5.26,-5.53,-11.96
17/01/2015,-5.27,-5.54,-11.94
18/01/2015,-5.26,-5.6,-11.96
19/01/2015,-5.27,-5.6,-11.93
20/01/2015,-5.27,-5.59,-11.9
21/01/2015,-5.29,-5.58,-11.91
23/01/2015,-5.25,-5.46,-11.88
24/01/2015,-5.25,-5.46,-11.91
25/01/2015,-5.25,-5.52,-11.96
26/01/2015,-5.25,-5.54,-12.0
27/01/2015,-5.27,-5.5,-11.97
28/01/2015,-5.3,-5.5,-11.97
29/01/2015,-5.31,-5.46,-11.86
30/01/2015,-5.28,-5.28,-11.68
31/01/2015,-5.2,-5.28,-11.73
01/02/2015,-5.16,-5.31,-11.77
02/02/2015,-5.11,-5.34,-11.84
03/02/2015,-5.09,-5.28,-11.84
04/02/2015,-5.08,-5.22,-11.83
05/02/2015,-5.06,-5.21,-11.82
06/02/2015,-5.0,-5.22,-11.84
07/02/2015,-4.98,-5.32,-11.94
08/02/2015,-4.96,-5.34,-11.91
09/02/2015,-4.96,-5.32,-11.98
10/02/2015,-4.98,-5.3,-11.99
11/02/2015,-5.01,-5.29,-11.99
12/02/2015,-5.03,-5.31,-11.98
13/02/2015,-5.06,-5.29,-11.98
14/02/2015,-5.08,-5.29,-11.93
15/02/2015,-5.05,-5.23,-11.9
16/02/2015,-4.98,-5.17,-11.91
