Date,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25
25/11/2009,-29.87,-29.15
26/11/2009,-29.85,-29.12
27/11/2009,-29.84,-29.1
28/11/2009,-29.87,-29.13
29/11/2009,-29.84,-29.11
30/11/2009,-29.83,-29.06
01/12/2009,-29.9,-29.14
02/12/2009,-29.95,-29.22
03/12/2009,-29.97,-29.21
04/12/2009,-29.84,-29.11
05/12/2009,-29.93,-29.19
06/12/2009,-29.93,-29.23
07/12/2009,-29.88,-29.19
08/12/2009,-29.78,-29.12
09/12/2009,-29.88,-29.17
10/12/2009,-29.95,-29.22
11/12/2009,-30.05,-29.25
12/12/2009,-30.03,-29.25
13/12/2009,-30.09,-29.29
14/12/2009,-30.01,-29.26
15/12/2009,-29.98,-29.23
16/12/2009,-29.91,-29.21
17/12/2009,-29.91,-29.21
18/12/2009,-29.99,-29.25
19/12/2009,-29.98,-29.22
20/12/2009,-30.08,-29.36
21/12/2009,-30.13,-29.41
22/12/2009,-30.1,-29.33
23/12/2009,-30.21,-29.39
24/12/2009,-30.15,-29.37
25/12/2009,-29.72,-29.27
26/12/2009,-29.83,-29.25
27/12/2009,-29.84,-29.21
28/12/2009,-29.88,-29.25
29/12/2009,-29.76,-29.15
30/12/2009,-29.7,-29.1
31/12/2009,-29.82,-29.1
01/01/2010,-29.78,-29.08
02/01/2010,-29.84,-29.14
03/01/2010,-29.94,-29.28
04/01/2010,-29.77,-29.16
05/01/2010,-29.58,-29.03
06/01/2010,-29.68,-29.04
07/01/2010,-29.64,-29.06
08/01/2010,-29.59,-28.96
09/01/2010,-29.66,-28.99
10/01/2010,-29.69,-29.03
11/01/2010,-29.62,-29.02
12/01/2010,-29.65,-28.99
13/01/2010,-29.56,-28.9
14/01/2010,-29.53,-28.9
15/01/2010,-29.54,-28.91
16/01/2010,-29.55,-28.94
17/01/2010,-29.51,-28.86
18/01/2010,-29.4,-28.8
19/01/2010,-29.37,-28.75
20/01/2010,-29.39,-28.73
21/01/2010,-29.44,-28.74
22/01/2010,-29.47,-28.78
23/01/2010,-29.46,-28.77
24/01/2010,-29.37,-28.73
25/01/2010,-29.34,-28.69
26/01/2010,-29.22,-28.6
27/01/2010,-29.21,-28.55
28/01/2010,-28.96,-28.43
29/01/2010,-29.09,-28.41
30/01/2010,-29.09,-28.36
31/01/2010,-29.13,-28.44
01/02/2010,-29.19,-28.5
02/02/2010,-29.14,-28.52
03/02/2010,-29.14,-28.5
04/02/2010,-29.1,-28.51
05/02/2010,-28.97,-28.41
06/02/2010,-29.01,-28.37
07/02/2010,-28.66,-28.3
08/02/2010,-28.99,-28.35
09/02/2010,-28.95,-28.3
10/02/2010,-28.84,-28.23
11/02/2010,-28.87,-28.26
12/02/2010,-28.89,-28.29
13/02/2010,-29.04,-28.37
14/02/2010,-28.88,-28.28
15/02/2010,-28.83,-28.26
16/02/2010,-28.76,-28.22
17/02/2010,-28.74,-28.15
18/02/2010,-28.65,-28.14
19/02/2010,-28.7,-28.05
20/02/2010,-28.68,-28.05
21/02/2010,-28.67,-28.1
22/02/2010,-28.61,-28.03
23/02/2010,-28.52,-27.96
24/02/2010,-28.59,-27.97
25/02/2010,-28.39,-27.91
26/02/2010,-28.39,-27.83
27/02/2010,-28.49,-27.9
28/02/2010,-28.2,-27.77
01/03/2010,-28.16,-27.7
02/03/2010,-28.39,-27.8
03/03/2010,-28.25,-27.65
04/03/2010,-28.24,-27.56
05/03/2010,-28.27,-27.62
06/03/2010,-28.31,-27.62
07/03/2010,-28.19,-27.56
08/03/2010,-28.11,-27.48
09/03/2010,-27.96,-27.39
10/03/2010,-28.08,-27.37
11/03/2010,-28.06,-27.37
12/03/2010,-27.95,-27.37
13/03/2010,-28.0,-27.35
14/03/2010,-27.95,-27.29
15/03/2010,-27.88,-27.26
16/03/2010,-27.92,-27.27
17/03/2010,-27.88,-27.27
18/03/2010,-27.85,-27.22
19/03/2010,-27.8,-27.16
20/03/2010,-27.74,-27.08
21/03/2010,-27.46,-26.95
22/03/2010,-27.62,-26.94
23/03/2010,-27.61,-26.9
24/03/2010,-27.59,-26.88
25/03/2010,-27.45,-26.85
26/03/2010,-27.35,-26.78
27/03/2010,-27.31,-26.71
28/03/2010,-26.98,-26.64
29/03/2010,-27.12,-26.63
30/03/2010,-27.07,-26.55
31/03/2010,-27.14,-26.56
01/04/2010,-27.12,-26.58
02/04/2010,-27.07,-26.56
03/04/2010,-27.08,-26.58
04/04/2010,-26.91,-26.51
05/04/2010,-26.78,-26.34
06/04/2010,-26.63,-26.35
07/04/2010,-26.87,-26.38
08/04/2010,-26.71,-26.33
09/04/2010,-26.86,-26.35
10/04/2010,-26.88,-26.34
11/04/2010,-26.72,-26.21
12/04/2010,-26.79,-26.2
13/04/2010,-26.68,-26.17
14/04/2010,-26.57,-26.11
15/04/2010,-26.79,-26.17
16/04/2010,-26.81,-26.16
17/04/2010,-26.77,-26.15
18/04/2010,-26.66,-26.09
19/04/2010,-26.7,-26.1
20/04/2010,-26.52,-26.1
21/04/2010,-26.63,-26.1
22/04/2010,-26.55,-26.05
23/04/2010,-26.61,-26.04
24/04/2010,-26.47,-25.98
25/04/2010,-26.36,-25.98
26/04/2010,-26.52,-25.98
27/04/2010,-26.58,-26.03
28/04/2010,-26.5,-26.01
29/04/2010,-26.55,-26.0
30/04/2010,-26.53,-25.99
01/05/2010,-26.53,-25.97
02/05/2010,-26.05,-25.79
03/05/2010,-26.03,-25.69
04/05/2010,-26.03,-25.65
05/05/2010,-26.31,-25.73
06/05/2010,-26.29,-25.76
07/05/2010,-26.31,-25.78
08/05/2010,-26.32,-25.78
09/05/2010,-26.01,-25.69
10/05/2010,-26.07,-25.66
11/05/2010,-25.96,-25.61
12/05/2010,-26.15,-25.65
13/05/2010,-26.08,-25.63
14/05/2010,-26.04,-25.6
15/05/2010,-25.94,-25.49
16/05/2010,-25.88,-25.51
17/05/2010,-25.86,-25.53
18/05/2010,-26.03,-25.55
19/05/2010,-25.94,-25.5
20/05/2010,-26.07,-25.52
21/05/2010,-26.07,-25.52
22/05/2010,-26.08,-25.52
23/05/2010,-26.01,-25.49
24/05/2010,-25.91,-25.32
25/05/2010,-26.02,-25.39
26/05/2010,-26.05,-25.41
27/05/2010,-26.03,-25.38
28/05/2010,-26.0,-25.38
29/05/2010,-26.04,-25.4
30/05/2010,-25.97,-25.33
31/05/2010,-25.78,-25.23
01/06/2010,-25.92,-25.25
02/06/2010,-25.76,-25.21
03/06/2010,-25.47,-25.09
04/06/2010,-25.62,-25.14
05/06/2010,-25.9,-25.27
06/06/2010,-25.89,-25.26
07/06/2010,-25.93,-25.27
08/06/2010,-25.98,-25.32
09/06/2010,-26.09,-25.36
10/06/2010,-26.04,-25.39
11/06/2010,-26.13,-25.43
12/06/2010,-26.17,-25.47
13/06/2010,-25.82,-25.33
14/06/2010,-26.0,-25.38
15/06/2010,-26.1,-25.41
16/06/2010,-25.91,-25.36
17/06/2010,-26.09,-25.39
18/06/2010,-26.2,-25.42
19/06/2010,-25.99,-25.36
20/06/2010,-25.44,-25.08
21/06/2010,-25.28,-24.98
22/06/2010,-25.64,-25.09
23/06/2010,-25.7,-25.14
24/06/2010,-25.8,-25.17
25/06/2010,-25.99,-25.27
26/06/2010,-25.96,-25.29
27/06/2010,-25.29,-25.04
28/06/2010,-25.75,-25.16
29/06/2010,-25.98,-25.24
30/06/2010,-26.11,-25.35
01/07/2010,-26.25,-25.45
02/07/2010,-26.25,-25.48
03/07/2010,-26.37,-25.56
04/07/2010,-26.28,-25.53
05/07/2010,-26.37,-25.57
06/07/2010,-26.39,-25.6
07/07/2010,-26.47,-25.66
08/07/2010,-26.6,-25.76
09/07/2010,-26.68,-25.81
10/07/2010,-26.76,-25.88
11/07/2010,-26.35,-25.75
12/07/2010,-26.62,-25.8
13/07/2010,-26.77,-25.89
14/07/2010,-26.82,-25.95
15/07/2010,-26.96,-26.04
16/07/2010,-27.03,-26.12
17/07/2010,-27.09,-26.21
18/07/2010,-26.79,-26.16
19/07/2010,-26.72,-26.08
20/07/2010,-27.08,-26.17
21/07/2010,-27.34,-26.34
22/07/2010,-27.29,-26.38
23/07/2010,-27.35,-26.4
24/07/2010,-27.43,-26.45
25/07/2010,-26.92,-26.31
26/07/2010,-27.06,-26.29
27/07/2010,-26.99,-26.29
28/07/2010,-27.12,-26.29
29/07/2010,-26.95,-26.3
30/07/2010,-26.89,-26.22
31/07/2010,-26.94,-26.2
01/08/2010,-26.59,-26.11
02/08/2010,-26.93,-26.17
03/08/2010,-27.21,-26.27
04/08/2010,-27.11,-26.27
05/08/2010,-27.3,-26.34
06/08/2010,-27.07,-26.31
07/08/2010,-27.03,-26.31
08/08/2010,-26.88,-26.29
09/08/2010,-27.2,-26.34
10/08/2010,-27.42,-26.47
11/08/2010,-27.29,-26.47
12/08/2010,-27.36,-26.49
13/08/2010,-27.3,-26.48
14/08/2010,-26.8,-26.24
15/08/2010,-26.79,-26.18
16/08/2010,-26.92,-26.24
17/08/2010,-27.1,-26.3
18/08/2010,-27.13,-26.3
19/08/2010,-27.16,-26.35
20/08/2010,-27.23,-26.42
21/08/2010,-27.22,-26.42
22/08/2010,-27.17,-26.38
23/08/2010,-27.16,-26.36
24/08/2010,-27.27,-26.43
25/08/2010,-27.28,-26.46
26/08/2010,-27.17,-26.45
27/08/2010,-27.24,-26.47
28/08/2010,-27.26,-26.45
29/08/2010,-27.03,-26.39
30/08/2010,-26.99,-26.32
31/08/2010,-26.85,-26.27
01/09/2010,-27.14,-26.38
02/09/2010,-27.23,-26.44
03/09/2010,-27.34,-26.49
04/09/2010,-27.37,-26.53
05/09/2010,-27.14,-26.48
06/09/2010,-27.11,-26.41
07/09/2010,-27.25,-26.44
08/09/2010,-27.21,-26.42
09/09/2010,-27.19,-26.43
10/09/2010,-27.23,-26.45
11/09/2010,-27.26,-26.43
12/09/2010,-27.27,-26.46
13/09/2010,-27.15,-26.44
14/09/2010,-27.01,-26.35
15/09/2010,-27.05,-26.38
16/09/2010,-27.1,-26.39
17/09/2010,-27.21,-26.45
18/09/2010,-27.21,-26.46
19/09/2010,-27.0,-26.37
20/09/2010,-26.96,-26.36
21/09/2010,-27.03,-26.38
22/09/2010,-26.99,-26.37
23/09/2010,-27.05,-26.38
24/09/2010,-27.0,-26.32
25/09/2010,-26.94,-26.26
26/09/2010,-26.86,-26.25
27/09/2010,-27.06,-26.36
28/09/2010,-27.24,-26.48
29/09/2010,-27.19,-26.51
30/09/2010,-27.13,-26.45
01/10/2010,-27.09,-26.42
02/10/2010,-27.13,-26.46
03/10/2010,-27.13,-26.45
04/10/2010,-27.13,-26.43
05/10/2010,-27.08,-26.38
06/10/2010,-27.04,-26.4
07/10/2010,-27.1,-26.44
08/10/2010,-27.11,-26.44
09/10/2010,-27.13,-26.45
10/10/2010,-27.04,-26.35
11/10/2010,-27.05,-26.34
12/10/2010,-27.04,-26.36
13/10/2010,-26.96,-26.32
14/10/2010,-27.03,-26.32
15/10/2010,-27.01,-26.31
16/10/2010,-27.07,-26.33
17/10/2010,-26.95,-26.31
18/10/2010,-27.03,-26.32
19/10/2010,-27.05,-26.33
20/10/2010,-27.03,-26.36
21/10/2010,-27.05,-26.4
22/10/2010,-27.13,-26.46
23/10/2010,-27.21,-26.5
24/10/2010,-27.31,-26.53
25/10/2010,-27.05,-26.37
26/10/2010,-27.08,-26.43
27/10/2010,-27.26,-26.51
28/10/2010,-27.14,-26.47
29/10/2010,-27.13,-26.46
30/10/2010,-27.17,-26.45
31/10/2010,-26.96,-26.34
01/11/2010,-26.82,-26.28
02/11/2010,-26.85,-26.28
03/11/2010,-27.09,-26.4
04/11/2010,-27.17,-26.49
05/11/2010,-27.16,-26.5
06/11/2010,-27.04,-26.38
07/11/2010,-26.9,-26.26
08/11/2010,-26.71,-26.14
09/11/2010,-26.83,-26.14
10/11/2010,-26.96,-26.27
11/11/2010,-27.11,-26.42
12/11/2010,-26.78,-26.35
13/11/2010,-26.8,-26.35
14/11/2010,-26.81,-26.38
15/11/2010,-26.76,-26.32
16/11/2010,-26.87,-26.3
17/11/2010,-27.03,-26.32
18/11/2010,-27.09,-26.38
19/11/2010,-27.09,-26.41
20/11/2010,-27.12,-26.43
21/11/2010,-26.77,-26.27
22/11/2010,-26.96,-26.26
23/11/2010,-27.0,-26.29
24/11/2010,-26.92,-26.33
25/11/2010,-26.88,-26.32
26/11/2010,-26.84,-26.25
27/11/2010,-27.04,-26.35
28/11/2010,-26.9,-26.22
29/11/2010,-27.0,-26.31
30/11/2010,-27.04,-26.33
01/12/2010,-27.01,-26.26
02/12/2010,-27.12,-26.37
03/12/2010,-27.27,-26.41
04/12/2010,-27.2,-26.42
05/12/2010,-27.04,-26.3
06/12/2010,-26.93,-26.16
07/12/2010,-26.9,-26.08
08/12/2010,-26.89,-26.04
09/12/2010,-26.66,-25.92
10/12/2010,-26.75,-25.97
11/12/2010,-26.71,-25.94
12/12/2010,-26.44,-25.68
13/12/2010,-26.52,-25.76
14/12/2010,-26.36,-25.72
15/12/2010,-26.32,-25.65
16/12/2010,-26.4,-25.62
17/12/2010,-26.31,-25.54
18/12/2010,-26.3,-25.49
19/12/2010,-26.17,-25.48
20/12/2010,-25.93,-25.34
21/12/2010,-26.06,-25.32
22/12/2010,-25.9,-25.26
23/12/2010,-25.89,-25.14
24/12/2010,-25.87,-25.08
25/12/2010,-25.45,-25.01
26/12/2010,-25.38,-24.96
27/12/2010,-25.62,-25.03
28/12/2010,-25.64,-24.99
29/12/2010,-25.5,-24.97
30/12/2010,-25.44,-24.86
31/12/2010,-25.6,-24.86
01/01/2011,-25.56,-24.82
02/01/2011,-25.24,-24.64
03/01/2011,-25.48,-24.71
04/01/2011,-25.35,-24.66
05/01/2011,-25.29,-24.6
06/01/2011,-25.24,-24.56
07/01/2011,-25.19,-24.53
08/01/2011,-25.31,-24.53
09/01/2011,-25.22,-24.47
10/01/2011,-25.08,-24.38
11/01/2011,-24.98,-24.3
12/01/2011,-25.14,-24.32
13/01/2011,-24.92,-24.27
14/01/2011,-24.87,-24.26
15/01/2011,-25.09,-24.27
16/01/2011,-25.02,-24.27
17/01/2011,-24.79,-24.19
18/01/2011,-24.86,-24.14
19/01/2011,-24.8,-24.06
20/01/2011,-24.7,-23.98
21/01/2011,-24.78,-23.98
22/01/2011,-24.78,-23.96
23/01/2011,-24.59,-23.92
24/01/2011,-24.71,-23.95
25/01/2011,-24.62,-23.89
26/01/2011,-24.55,-23.8
27/01/2011,-24.63,-23.82
28/01/2011,-24.69,-23.85
29/01/2011,-24.71,-23.9
30/01/2011,-24.57,-23.84
31/01/2011,-24.36,-23.79
01/02/2011,-24.49,-23.77
02/02/2011,-24.41,-23.72
03/02/2011,-24.41,-23.7
04/02/2011,-24.51,-23.75
05/02/2011,-24.47,-23.73
06/02/2011,-24.27,-23.67
07/02/2011,-24.3,-23.62
08/02/2011,-24.31,-23.59
09/02/2011,-24.15,-23.53
10/02/2011,-24.18,-23.53
11/02/2011,-24.21,-23.5
12/02/2011,-24.11,-23.45
13/02/2011,-24.07,-23.4
14/02/2011,-24.07,-23.38
15/02/2011,-24.09,-23.34
16/02/2011,-23.9,-23.25
17/02/2011,-24.05,-23.3
18/02/2011,-23.99,-23.29
19/02/2011,-24.18,-23.38
20/02/2011,-24.1,-23.35
21/02/2011,-23.84,-23.24
22/02/2011,-23.97,-23.25
23/02/2011,-24.05,-23.3
24/02/2011,-24.01,-23.31
25/02/2011,-24.03,-23.32
26/02/2011,-24.07,-23.28
27/02/2011,-23.95,-23.2
28/02/2011,-23.87,-23.18
01/03/2011,-23.89,-23.19
02/03/2011,-23.89,-23.21
03/03/2011,-23.97,-23.23
04/03/2011,-24.11,-23.26
05/03/2011,-24.06,-23.22
06/03/2011,-24.09,-23.24
07/03/2011,-24.14,-23.33
08/03/2011,-24.13,-23.36
09/03/2011,-24.06,-23.27
10/03/2011,-24.11,-23.28
11/03/2011,-24.09,-23.28
12/03/2011,-24.11,-23.28
13/03/2011,-24.03,-23.2
14/03/2011,-23.96,-23.2
15/03/2011,-23.93,-23.2
16/03/2011,-23.95,-23.15
17/03/2011,-23.92,-23.18
18/03/2011,-23.86,-23.2
19/03/2011,-24.02,-23.28
20/03/2011,-23.9,-23.26
21/03/2011,-23.9,-23.24
22/03/2011,-23.92,-23.28
23/03/2011,-23.82,-23.26
24/03/2011,-23.99,-23.28
25/03/2011,-23.96,-23.23
26/03/2011,-23.87,-23.18
27/03/2011,-23.82,-23.16
28/03/2011,-23.54,-23.05
29/03/2011,-23.67,-23.06
30/03/2011,-23.82,-23.14
