Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Lake_Level,Flow_Rate
03/02/2004,0.0,0.0,0.0,0.0,0.0,251.75,5.25
04/02/2004,0.0,0.0,0.0,0.0,0.0,251.79,5.8
05/02/2004,0.0,0.0,0.0,0.0,0.0,251.79,5.9
06/02/2004,0.0,0.0,0.0,0.2,0.2,251.77,6.0
07/02/2004,3.2,8.2,6.4,4.4,4.2,251.75,5.8
08/02/2004,1.2,1.4,1.6,1.4,0.8,251.76,6.1
09/02/2004,0.0,0.0,0.0,0.0,0.0,251.75,6.6
10/02/2004,0.2,0.0,0.0,0.0,0.0,251.73,6.8
11/02/2004,0.0,0.0,0.0,0.0,0.0,251.7,6.3
12/02/2004,0.2,0.0,0.0,0.0,0.2,251.68,3.5
13/02/2004,0.0,0.0,0.2,0.0,0.0,251.68,3.5
14/02/2004,0.0,0.0,0.0,0.0,0.0,251.68,3.6
15/02/2004,0.0,0.0,0.0,0.0,0.0,251.68,3.7
16/02/2004,0.0,0.0,0.0,0.0,0.0,251.68,3.8
17/02/2004,0.0,0.0,0.0,0.0,0.0,251.67,4.0
18/02/2004,10.0,11.6,8.2,8.8,11.6,251.66,4.2
19/02/2004,23.4,21.4,20.6,23.2,25.0,251.73,5.3
20/02/2004,1.4,1.4,1.4,0.6,2.8,251.88,6.0
21/02/2004,14.4,26.0,13.8,18.0,18.8,251.89,6.7
22/02/2004,14.6,27.4,16.4,25.2,28.4,252.14,17.6
23/02/2004,13.2,29.2,21.8,29.0,23.8,252.28,44.5
24/02/2004,0.0,0.2,0.0,0.0,0.0,252.11,33.5
25/02/2004,3.4,3.4,2.8,3.2,5.2,251.96,8.1
26/02/2004,12.4,14.8,12.8,16.6,16.2,251.96,9.6
27/02/2004,2.4,2.4,1.6,3.4,2.4,252.03,12.4
28/02/2004,10.6,1.4,7.2,9.0,0.6,251.99,12.2
29/02/2004,4.4,13.2,7.0,17.0,17.4,251.98,11.8
01/03/2004,0.0,4.6,0.0,0.4,7.6,251.99,8.9
02/03/2004,0.0,0.0,0.0,0.0,0.0,251.95,8.6
03/03/2004,0.0,0.0,0.0,0.0,0.0,251.9,7.1
04/03/2004,0.0,0.0,0.0,0.0,0.0,251.91,6.1
05/03/2004,0.0,0.0,0.0,0.0,0.0,251.91,6.2
06/03/2004,11.4,13.8,9.2,16.2,20.8,251.91,6.3
07/03/2004,5.6,7.4,6.6,6.8,11.2,252.0,7.7
08/03/2004,0.2,1.8,0.6,0.2,0.4,251.98,7.9
09/03/2004,0.0,0.0,0.0,0.0,0.0,251.96,7.0
10/03/2004,1.0,4.4,1.6,2.2,2.2,251.94,6.4
11/03/2004,7.2,14.4,7.6,7.8,8.6,251.93,6.7
12/03/2004,0.0,0.0,0.0,0.2,0.0,251.95,7.1
13/03/2004,0.0,0.0,0.0,0.0,0.0,251.94,7.3
14/03/2004,0.0,0.0,0.0,0.0,0.0,251.93,6.9
15/03/2004,0.0,0.0,0.0,0.0,0.0,251.91,6.9
16/03/2004,0.0,0.0,0.0,0.0,0.0,251.88,6.2
17/03/2004,0.0,0.0,0.0,0.0,0.0,251.86,5.6
18/03/2004,0.0,0.0,0.0,0.0,0.0,251.84,5.6
19/03/2004,0.0,0.0,0.0,0.0,0.0,251.84,5.2
20/03/2004,0.0,0.4,1.2,0.2,0.6,251.84,4.6
21/03/2004,1.0,2.2,1.4,1.8,1.2,251.84,4.6
22/03/2004,0.0,0.6,0.0,0.0,0.0,251.83,4.6
23/03/2004,5.6,11.0,5.0,7.2,9.0,251.84,4.8
24/03/2004,0.2,0.2,0.0,0.0,1.2,251.83,4.8
25/03/2004,1.6,0.4,0.4,1.0,2.6,251.8,4.8
26/03/2004,0.0,0.2,0.0,0.0,0.4,251.78,4.7
27/03/2004,0.0,0.0,0.0,0.0,0.0,251.77,4.6
28/03/2004,0.0,0.0,0.0,0.0,0.0,251.75,4.6
29/03/2004,0.0,0.0,0.0,0.0,0.0,251.72,0.6
30/03/2004,0.0,0.0,0.0,0.0,0.0,251.73,0.6
31/03/2004,8.2,8.0,8.2,8.8,10.2,251.74,0.6
01/04/2004,0.0,0.0,0.0,0.0,0.0,251.75,0.6
02/04/2004,0.0,0.0,0.0,0.0,0.0,251.76,0.6
03/04/2004,0.0,0.0,0.0,0.0,0.0,251.77,0.6
04/04/2004,0.0,0.0,0.0,0.0,0.0,251.78,0.6
05/04/2004,0.0,0.0,0.0,0.0,0.0,251.8,0.6
06/04/2004,0.2,1.0,0.0,0.0,0.0,251.82,0.6
07/04/2004,13.4,12.6,11.2,17.0,23.6,251.84,0.6
08/04/2004,0.2,0.4,0.0,0.0,0.2,251.87,0.6
09/04/2004,7.2,7.4,8.4,8.4,10.4,251.9,0.6
10/04/2004,0.2,0.4,0.0,0.0,0.2,251.93,0.6
11/04/2004,0.0,0.0,0.0,0.0,0.0,251.95,0.6
12/04/2004,0.6,3.6,5.2,1.2,2.4,251.98,0.6
13/04/2004,0.0,0.2,0.2,0.2,0.4,252.0,0.6
14/04/2004,0.0,0.0,0.0,0.0,0.0,252.0,0.6
15/04/2004,0.4,3.4,2.4,2.4,1.8,252.0,0.6
16/04/2004,14.4,19.4,14.8,19.0,19.8,252.01,2.9
17/04/2004,6.2,3.6,6.4,3.2,4.2,252.08,7.4
18/04/2004,2.2,4.2,2.2,2.6,5.2,252.09,9.9
19/04/2004,9.4,10.6,10.4,9.6,12.6,252.09,9.5
20/04/2004,0.8,0.2,1.2,0.6,0.6,252.11,10.0
21/04/2004,0.2,0.0,0.0,0.0,0.0,252.11,9.8
22/04/2004,0.0,0.0,0.0,0.0,0.0,252.09,9.3
23/04/2004,0.0,0.0,0.0,0.0,0.0,252.08,7.5
24/04/2004,11.2,13.8,10.8,12.4,14.0,252.07,6.8
25/04/2004,0.2,0.0,0.0,0.0,0.0,252.07,6.8
26/04/2004,0.0,0.0,0.0,0.0,0.0,252.06,5.0
27/04/2004,0.0,0.0,0.0,0.0,0.0,252.05,5.2
28/04/2004,0.0,0.0,0.0,0.0,0.0,252.05,5.0
29/04/2004,0.4,0.2,0.4,0.2,0.6,252.05,4.8
30/04/2004,2.6,3.8,4.0,2.6,3.2,252.05,4.6
01/05/2004,0.0,0.0,0.0,0.0,0.0,252.05,3.9
02/05/2004,2.8,1.8,4.4,5.2,3.6,252.04,3.2
03/05/2004,2.4,13.8,2.8,3.4,4.6,252.04,3.0
04/05/2004,24.2,46.6,27.0,33.8,39.8,252.06,11.8
05/05/2004,19.6,28.4,16.4,29.0,30.6,252.23,25.5
06/05/2004,14.2,13.0,11.4,19.0,29.6,252.36,38.5
07/05/2004,8.2,8.8,9.8,7.6,6.6,252.23,32.2
08/05/2004,11.0,23.2,17.8,16.4,14.0,252.18,27.2
09/05/2004,0.0,1.4,0.4,0.8,0.6,252.12,21.4
10/05/2004,0.0,0.0,0.0,0.0,0.0,252.06,10.9
11/05/2004,0.0,0.0,0.0,0.0,0.2,252.08,7.0
12/05/2004,1.4,2.4,1.2,1.6,1.4,252.08,9.1
13/05/2004,0.0,0.4,0.0,0.0,0.0,252.08,9.1
14/05/2004,0.0,0.0,0.0,0.0,0.0,252.08,8.0
15/05/2004,0.0,0.0,0.0,0.0,0.0,252.08,8.0
16/05/2004,0.0,0.0,0.0,0.0,0.0,252.07,7.8
17/05/2004,0.0,0.0,0.0,0.0,0.0,252.06,6.9
18/05/2004,0.0,0.0,0.0,0.0,0.0,252.06,6.1
19/05/2004,0.0,0.0,0.0,0.0,0.0,252.05,5.7
20/05/2004,0.0,0.0,0.0,0.0,0.0,252.05,4.8
21/05/2004,0.0,0.0,0.0,0.0,0.0,252.04,4.8
22/05/2004,0.0,0.0,0.0,0.0,0.0,252.04,4.5
23/05/2004,0.0,0.0,0.0,0.0,0.0,252.04,4.1
24/05/2004,0.0,0.0,0.0,0.0,0.0,252.03,3.3
25/05/2004,0.0,0.0,0.0,0.0,0.0,252.03,3.3
26/05/2004,0.0,0.0,0.0,0.0,0.0,252.03,3.3
27/05/2004,0.0,0.0,0.0,0.0,0.0,252.03,3.3
28/05/2004,0.2,0.0,0.2,0.4,0.0,252.03,3.3
29/05/2004,0.0,0.0,0.0,0.0,0.0,252.02,2.5
30/05/2004,0.0,0.0,0.0,0.0,0.0,252.02,2.0
31/05/2004,9.4,7.0,5.8,8.6,11.2,252.02,2.0
01/06/2004,7.8,7.2,5.8,7.4,11.6,252.02,2.0
02/06/2004,1.2,7.2,2.6,2.6,0.0,252.02,2.0
03/06/2004,5.6,7.0,7.2,4.8,6.8,252.02,2.0
04/06/2004,0.2,0.0,0.0,0.0,0.0,252.02,2.0
05/06/2004,8.0,0.0,2.6,0.4,0.2,252.02,2.0
06/06/2004,8.0,4.2,4.2,6.2,7.4,252.02,2.0
07/06/2004,0.0,0.0,0.0,0.0,0.0,252.02,2.3
08/06/2004,0.0,0.0,0.0,0.0,0.0,252.01,1.7
09/06/2004,0.0,0.0,0.0,0.0,0.0,252.01,1.7
10/06/2004,0.0,0.0,0.0,0.0,0.0,252.01,1.6
11/06/2004,0.0,0.0,0.0,0.0,0.0,252.01,1.4
12/06/2004,0.0,0.0,0.0,0.0,0.0,252.0,0.8
13/06/2004,0.0,1.2,0.2,0.4,0.0,252.0,0.8
14/06/2004,0.0,0.2,0.2,0.2,0.0,251.99,0.6
15/06/2004,0.0,1.2,2.0,0.0,0.0,251.99,0.6
16/06/2004,0.0,0.0,0.0,0.0,0.0,251.98,0.6
17/06/2004,0.0,0.0,0.0,0.0,0.0,251.98,0.6
18/06/2004,0.0,0.0,0.0,0.0,0.0,251.97,0.6
19/06/2004,0.0,0.0,0.0,0.0,0.0,251.96,0.6
20/06/2004,0.2,1.6,2.4,0.8,0.4,251.96,0.6
21/06/2004,0.0,0.0,0.0,0.0,0.0,251.95,0.6
22/06/2004,0.0,0.0,0.0,0.0,0.0,251.94,0.6
23/06/2004,0.0,0.0,0.0,0.0,0.0,251.93,0.6
24/06/2004,0.0,0.0,0.0,0.0,0.0,251.92,0.6
25/06/2004,0.0,0.0,0.0,0.0,0.0,251.91,0.6
26/06/2004,0.0,0.0,0.0,0.0,0.0,251.9,0.6
27/06/2004,0.0,0.0,0.0,0.0,0.0,251.89,0.6
28/06/2004,0.0,0.0,0.0,0.0,0.0,251.88,0.6
29/06/2004,0.0,0.0,0.0,0.0,0.0,251.87,0.6
30/06/2004,0.0,0.0,0.0,0.0,0.0,251.86,0.6
01/07/2004,0.0,0.0,0.0,0.0,0.0,251.85,0.6
02/07/2004,0.0,0.0,0.0,0.0,0.0,251.84,0.6
03/07/2004,0.0,0.0,0.0,0.0,0.0,251.83,0.6
04/07/2004,0.0,0.0,0.0,0.0,0.0,251.81,0.6
05/07/2004,0.0,0.0,0.0,0.0,0.0,251.8,0.6
06/07/2004,0.0,0.0,0.0,0.0,0.0,251.78,1.0
07/07/2004,0.0,0.0,0.0,0.0,0.0,251.75,1.0
08/07/2004,0.0,0.0,0.0,0.0,0.0,251.73,1.0
09/07/2004,0.0,0.0,0.0,0.0,0.0,251.7,1.5
10/07/2004,0.0,0.0,0.0,0.0,0.0,251.67,1.5
11/07/2004,0.0,0.0,0.0,0.0,0.0,251.64,1.5
12/07/2004,0.0,0.0,0.0,0.0,0.0,251.61,2.0
13/07/2004,0.0,0.2,0.0,0.0,0.0,251.57,2.0
14/07/2004,0.0,0.0,0.0,0.0,0.0,251.54,2.0
15/07/2004,0.0,0.0,0.0,0.0,0.0,251.5,2.0
16/07/2004,0.0,0.0,0.0,0.0,0.0,251.46,2.0
17/07/2004,0.0,0.0,0.0,0.0,0.0,251.41,2.0
18/07/2004,0.0,0.0,0.0,0.0,0.0,251.37,2.0
19/07/2004,0.0,0.0,0.0,0.0,0.0,251.34,2.5
20/07/2004,0.0,0.0,0.0,0.0,0.0,251.3,2.5
21/07/2004,0.0,0.0,0.0,0.0,0.0,251.25,2.5
22/07/2004,0.0,0.0,0.0,0.0,0.0,251.2,2.5
23/07/2004,0.0,0.0,0.0,0.0,0.0,251.16,2.5
24/07/2004,0.0,0.0,0.0,0.0,0.0,251.11,2.5
25/07/2004,13.6,12.0,21.0,9.2,10.2,251.07,2.5
26/07/2004,0.0,0.0,0.0,0.0,0.0,251.03,2.5
27/07/2004,0.0,0.2,0.0,0.0,0.0,250.98,2.5
28/07/2004,0.0,0.0,0.0,0.0,0.0,250.93,2.5
29/07/2004,0.0,0.0,0.0,0.0,0.0,250.88,2.5
30/07/2004,0.0,0.0,0.0,0.0,0.0,250.84,3.0
31/07/2004,0.0,0.0,0.0,0.0,0.0,250.77,3.0
01/08/2004,0.0,0.0,0.0,0.0,0.0,250.71,3.0
02/08/2004,0.0,0.0,0.0,0.0,0.0,250.67,3.0
03/08/2004,0.0,0.0,0.0,0.0,0.0,250.61,3.0
04/08/2004,9.6,16.0,1.6,7.0,15.8,250.55,3.0
05/08/2004,3.4,2.6,2.0,5.2,9.6,250.5,3.0
06/08/2004,7.6,5.6,6.6,4.4,2.2,250.45,2.5
07/08/2004,0.0,0.2,0.0,0.0,0.0,250.4,2.5
08/08/2004,0.8,1.0,1.2,1.0,1.0,250.34,2.5
09/08/2004,0.0,0.0,0.0,0.0,0.0,250.3,2.5
10/08/2004,0.0,0.0,0.0,0.0,0.0,250.26,2.5
11/08/2004,0.0,0.0,0.0,0.0,0.0,250.22,2.5
12/08/2004,0.0,0.0,0.0,0.0,0.0,250.16,2.5
13/08/2004,0.2,2.6,0.0,0.0,0.0,250.11,2.5
14/08/2004,0.0,0.0,0.0,0.0,0.0,250.06,2.5
15/08/2004,0.0,0.0,0.0,0.0,0.0,250.01,2.5
16/08/2004,0.0,0.0,0.0,0.0,0.0,249.96,3.0
17/08/2004,0.0,0.0,0.0,0.0,0.0,249.91,3.0
18/08/2004,0.0,0.0,0.0,0.0,0.0,249.86,3.0
19/08/2004,0.0,0.0,0.0,0.0,0.0,249.8,3.0
20/08/2004,0.0,0.0,0.0,0.0,0.0,249.74,3.0
21/08/2004,0.4,0.8,0.6,0.6,2.0,249.68,3.0
22/08/2004,0.0,0.0,0.0,0.0,0.0,249.62,3.5
23/08/2004,0.0,0.0,0.0,0.0,0.0,249.55,3.5
24/08/2004,0.0,0.0,0.0,0.0,0.0,249.49,3.5
25/08/2004,0.0,0.0,0.0,0.0,0.0,249.42,3.5
26/08/2004,0.0,0.0,0.4,2.2,1.0,249.35,3.5
27/08/2004,0.0,0.4,0.0,0.0,0.0,249.28,3.5
28/08/2004,0.0,0.0,0.0,0.0,0.0,249.21,3.5
29/08/2004,0.0,0.0,0.0,0.0,0.0,249.14,3.5
30/08/2004,0.0,0.0,0.0,0.0,0.0,249.07,3.5
31/08/2004,0.0,0.0,0.0,0.0,0.0,249.0,3.2
01/09/2004,0.0,0.0,0.0,0.0,0.0,248.94,3.2
02/09/2004,0.0,0.0,0.0,0.0,0.0,248.88,3.2
03/09/2004,0.0,0.0,0.0,0.0,0.0,248.81,3.5
04/09/2004,0.0,0.0,0.0,0.0,0.0,248.74,3.5
05/09/2004,0.0,0.0,0.0,0.0,0.0,248.67,3.5
06/09/2004,0.0,0.0,0.0,0.0,0.0,248.6,3.5
07/09/2004,0.0,0.0,0.0,0.0,0.0,248.53,3.5
08/09/2004,0.0,0.0,0.0,0.0,0.0,248.46,3.5
09/09/2004,0.0,0.0,0.0,0.0,0.0,248.39,3.5
10/09/2004,0.0,0.0,0.0,0.0,0.0,248.32,3.5
11/09/2004,0.0,0.0,0.0,0.0,0.0,248.25,3.5
12/09/2004,0.0,1.6,0.2,0.2,0.0,248.18,3.5
13/09/2004,0.0,0.0,0.0,0.0,0.0,248.11,3.5
14/09/2004,24.0,20.2,37.2,32.8,38.2,248.04,3.5
15/09/2004,0.0,0.2,0.0,0.0,0.2,248.04,2.5
16/09/2004,5.4,5.2,3.8,6.0,7.2,247.99,2.5
17/09/2004,0.0,0.0,0.0,0.0,0.0,247.97,1.5
18/09/2004,0.0,0.0,0.0,0.0,0.0,247.93,1.5
19/09/2004,0.0,0.0,0.0,0.0,0.0,247.89,1.5
20/09/2004,0.0,0.0,0.0,0.0,0.0,247.86,3.5
21/09/2004,0.2,0.0,0.2,0.0,0.0,247.8,3.5
22/09/2004,0.0,0.0,0.0,0.0,0.0,247.74,3.0
23/09/2004,0.0,0.0,0.0,0.0,0.0,247.68,3.0
24/09/2004,21.6,23.4,22.2,29.0,20.0,247.62,3.0
25/09/2004,0.2,0.0,0.0,0.0,0.0,247.6,2.0
26/09/2004,0.0,0.0,0.2,0.0,0.0,247.55,2.5
27/09/2004,0.0,0.0,0.0,0.0,0.0,247.5,2.5
28/09/2004,0.0,0.0,0.0,0.0,0.0,247.44,2.5
29/09/2004,0.0,0.0,0.0,0.0,0.0,247.39,3.0
30/09/2004,0.0,0.0,0.0,0.0,0.0,247.32,3.0
01/10/2004,2.4,0.8,3.2,2.0,4.8,247.28,3.0
02/10/2004,0.0,0.0,0.0,0.0,0.0,247.22,3.0
03/10/2004,0.0,0.6,0.0,0.2,0.0,247.16,3.0
04/10/2004,0.2,0.4,0.2,0.0,0.2,247.09,3.0
05/10/2004,0.0,0.0,0.0,0.0,0.0,247.03,3.0
06/10/2004,0.2,0.0,0.0,0.0,0.0,246.98,3.0
07/10/2004,0.0,0.0,0.0,0.0,0.0,246.91,3.0
08/10/2004,0.0,0.0,0.0,0.0,0.0,246.88,1.0
09/10/2004,0.0,0.0,0.0,0.0,0.0,246.83,3.0
10/10/2004,13.6,13.8,3.4,11.6,17.8,246.77,3.0
11/10/2004,4.2,7.2,2.8,2.6,3.8,246.72,1.5
12/10/2004,0.0,1.0,0.4,2.2,0.6,246.69,1.5
13/10/2004,0.0,0.0,0.0,0.0,0.0,246.66,1.5
14/10/2004,11.2,28.8,2.4,14.0,14.6,246.63,1.5
15/10/2004,8.6,8.8,4.8,13.4,14.4,246.63,1.5
16/10/2004,18.2,29.6,7.0,23.0,18.0,246.61,1.0
17/10/2004,5.2,7.6,4.8,13.0,4.2,246.65,1.0
18/10/2004,0.0,0.2,0.4,0.2,0.0,246.66,0.6
19/10/2004,0.0,11.6,1.4,0.2,0.2,246.65,0.6
20/10/2004,0.6,4.2,0.6,0.4,0.0,246.65,0.6
21/10/2004,0.2,3.6,0.8,0.2,0.2,246.65,0.6
22/10/2004,0.0,0.0,0.0,0.2,0.0,246.64,0.6
23/10/2004,0.0,0.0,0.2,0.0,0.0,246.64,0.6
24/10/2004,0.0,0.2,0.0,0.0,0.0,246.63,0.6
25/10/2004,0.4,0.4,0.4,0.2,0.2,246.61,0.6
26/10/2004,2.0,7.4,1.0,1.0,3.0,246.6,0.6
27/10/2004,1.0,2.6,2.4,0.6,1.4,246.59,0.6
28/10/2004,1.4,6.0,0.8,4.0,3.8,246.58,0.6
29/10/2004,23.8,22.2,7.6,27.6,29.4,246.59,0.6
30/10/2004,2.2,1.8,1.6,1.4,2.0,246.65,0.6
31/10/2004,22.2,46.2,5.8,28.4,21.4,246.75,0.6
01/11/2004,7.0,5.0,2.8,16.4,21.4,246.86,0.6
02/11/2004,0.2,0.0,0.0,0.0,0.0,247.01,0.6
03/11/2004,0.2,0.0,0.0,0.0,0.0,247.03,0.6
04/11/2004,0.2,0.0,0.8,0.2,0.0,247.04,0.6
05/11/2004,0.2,0.0,0.0,0.0,0.0,247.04,0.6
06/11/2004,0.2,2.4,0.8,0.2,0.8,247.04,0.6
07/11/2004,2.6,0.8,3.4,2.6,1.2,247.03,0.6
08/11/2004,0.0,0.2,0.6,0.2,0.2,247.02,0.6
09/11/2004,20.4,21.2,15.6,21.4,17.0,247.01,0.6
10/11/2004,10.0,11.8,9.4,10.0,17.0,247.05,0.6
11/11/2004,13.6,16.0,9.2,16.4,15.8,247.14,0.6
12/11/2004,0.4,0.6,0.4,0.8,1.2,247.25,0.6
13/11/2004,0.0,0.6,1.6,0.0,0.0,247.3,0.6
14/11/2004,2.0,5.8,6.4,2.2,0.4,247.32,0.6
15/11/2004,0.0,0.0,0.0,0.0,0.0,247.33,0.6
16/11/2004,0.0,0.0,0.0,0.0,0.0,247.34,0.6
17/11/2004,0.2,0.0,0.0,0.0,0.0,247.34,0.6
18/11/2004,0.0,0.0,0.0,0.0,0.0,247.34,0.6
19/11/2004,0.0,0.0,0.0,0.4,0.4,247.34,0.6
20/11/2004,0.0,0.0,0.0,0.0,0.0,247.32,0.6
21/11/2004,0.0,0.0,0.0,0.0,0.0,247.31,0.6
22/11/2004,0.8,0.4,0.8,0.8,1.2,247.31,0.6
23/11/2004,0.0,0.4,0.0,0.4,0.2,247.31,0.6
24/11/2004,0.2,0.2,0.4,0.2,0.2,247.31,0.6
25/11/2004,0.4,0.0,0.0,0.0,0.0,247.3,0.6
26/11/2004,2.0,1.2,1.8,1.8,3.6,247.3,0.6
27/11/2004,7.0,4.8,6.2,8.4,10.6,247.3,0.6
28/11/2004,0.2,0.4,0.2,0.0,0.4,247.3,0.6
29/11/2004,4.6,5.4,1.6,2.8,2.8,247.3,0.6
30/11/2004,16.0,24.8,17.6,14.0,16.6,247.33,0.6
01/12/2004,18.6,21.2,15.6,20.4,17.8,247.38,0.6
02/12/2004,1.2,12.6,2.0,1.6,0.8,247.55,0.6
03/12/2004,14.6,16.2,14.2,14.4,17.4,247.74,0.6
04/12/2004,31.6,44.4,24.2,34.6,35.8,247.88,0.6
05/12/2004,14.2,12.4,10.8,12.4,12.8,248.34,0.6
06/12/2004,1.6,4.2,1.4,0.8,1.8,248.59,0.6
07/12/2004,0.2,0.0,0.0,0.0,0.2,248.71,0.6
08/12/2004,1.6,2.6,0.6,2.4,3.2,248.78,0.6
09/12/2004,0.2,0.2,0.0,0.0,0.2,248.83,0.6
10/12/2004,0.0,0.0,0.0,0.0,0.0,248.85,0.6
11/12/2004,0.0,0.0,0.0,0.0,0.0,248.87,0.6
12/12/2004,0.0,0.0,0.0,0.0,0.0,248.89,0.6
13/12/2004,0.2,0.0,0.0,0.0,0.0,248.89,0.6
14/12/2004,0.2,0.0,0.0,0.0,0.0,248.9,0.6
15/12/2004,0.4,0.0,0.2,0.0,0.0,248.91,0.6
16/12/2004,2.8,3.8,3.8,2.8,2.4,248.92,0.6
17/12/2004,4.2,3.6,4.8,3.6,7.8,248.95,0.6
18/12/2004,0.0,0.2,0.2,0.2,0.2,248.95,0.6
19/12/2004,1.4,2.0,0.8,1.8,2.4,248.95,0.6
20/12/2004,0.0,0.8,1.2,0.0,0.0,248.95,0.6
21/12/2004,0.0,0.0,0.0,0.0,0.0,248.96,0.6
22/12/2004,0.0,0.0,0.0,0.0,0.0,248.96,0.6
23/12/2004,0.0,0.0,0.0,0.0,0.0,248.96,0.6
24/12/2004,0.0,0.0,0.0,0.0,0.0,248.96,0.6
25/12/2004,4.6,9.0,4.8,9.2,5.2,248.96,0.6
26/12/2004,22.8,39.2,20.8,29.4,25.6,249.04,0.6
27/12/2004,6.6,15.6,6.2,13.0,9.4,249.29,0.6
28/12/2004,4.0,5.4,3.8,5.6,8.6,249.52,0.6
29/12/2004,1.0,4.4,4.6,1.2,1.0,249.68,0.6
30/12/2004,0.0,0.0,0.0,0.0,0.0,249.75,0.6
31/12/2004,0.0,0.0,0.0,0.0,0.0,249.8,0.6
01/01/2005,0.0,0.0,0.0,0.0,0.0,249.84,0.6
02/01/2005,0.0,0.0,0.0,0.0,0.0,249.88,0.6
03/01/2005,0.2,0.0,0.0,0.0,0.0,249.9,0.6
04/01/2005,0.0,0.0,0.0,0.0,0.0,249.91,0.6
05/01/2005,0.0,0.0,0.0,0.0,0.0,249.93,0.6
06/01/2005,0.0,0.0,0.0,0.0,0.0,249.95,0.6
07/01/2005,0.4,0.2,0.4,0.2,0.2,249.96,0.6
08/01/2005,0.0,0.0,0.0,0.0,0.0,249.97,0.6
09/01/2005,0.0,0.0,0.0,0.0,0.0,249.98,0.6
10/01/2005,0.0,0.2,0.2,0.0,0.2,249.99,0.6
11/01/2005,0.0,0.0,0.0,0.0,0.0,250.0,0.6
12/01/2005,0.0,0.0,0.0,0.0,0.0,250.0,0.6
13/01/2005,0.0,0.0,0.0,0.0,0.0,250.0,0.6
14/01/2005,0.4,0.2,0.4,0.2,0.4,250.0,0.6
15/01/2005,0.2,0.0,0.2,0.0,0.2,250.0,0.6
16/01/2005,0.0,0.0,0.0,0.0,0.0,250.0,0.6
17/01/2005,0.2,0.0,0.0,0.0,0.0,250.0,0.6
18/01/2005,24.6,33.2,19.6,34.0,35.2,250.0,0.6
19/01/2005,8.4,11.8,23.6,7.0,3.8,250.24,0.6
20/01/2005,0.0,0.0,0.0,0.0,0.0,250.38,0.6
21/01/2005,0.0,0.0,0.0,0.0,0.0,250.46,0.6
22/01/2005,0.2,0.0,0.2,0.0,0.2,250.5,0.6
23/01/2005,0.6,0.2,0.2,0.4,0.0,250.52,0.6
24/01/2005,0.0,0.0,0.0,0.0,0.2,250.55,0.6
25/01/2005,0.2,0.0,0.2,0.0,0.0,250.57,0.6
26/01/2005,0.0,0.0,0.0,0.0,0.0,250.59,0.6
27/01/2005,0.0,0.0,0.4,0.0,0.0,250.6,0.6
28/01/2005,0.0,0.0,0.0,0.0,0.0,250.62,0.6
29/01/2005,0.0,0.0,0.0,0.0,0.0,250.62,0.6
