Date,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9
10/04/2019,-40.69,-100.62,-113.94,-102.05,-104.29,-97.7,-96.84,-97.9,-91.87
11/04/2019,-40.73,-100.71,-113.77,-101.43,-104.26,-94.03,-96.84,-97.85,-91.87
12/04/2019,-41.24,-100.71,-109.99,-101.43,-104.26,-94.03,-96.86,-97.85,-92.13
13/04/2019,-41.56,-100.77,-106.29,-101.43,-104.21,-93.91,-96.86,-97.78,-92.13
14/04/2019,-41.58,-100.77,-106.29,-101.8,-104.21,-93.91,-96.86,-97.78,-92.13
15/04/2019,-41.72,-100.91,-106.67,-102.02,-104.26,-93.91,-96.86,-98.22,-92.13
16/04/2019,-41.96,-101.12,-106.67,-102.02,-104.26,-93.91,-96.86,-98.33,-92.13
14/05/2019,-45.78,-101.28,-112.15,-102.07,-104.32,-93.91,-96.95,-98.84,-92.59
15/05/2019,-46.03,-101.28,-112.09,-102.07,-104.32,-93.91,-96.93,-98.84,-92.04
16/05/2019,-46.12,-101.28,-112.01,-102.07,-104.32,-93.91,-96.98,-98.84,-91.41
17/05/2019,-46.27,-101.28,-111.63,-102.07,-104.32,-93.91,-96.98,-98.84,-90.85
18/05/2019,-46.27,-101.28,-111.14,-102.07,-104.32,-93.91,-97.13,-98.84,-90.85
19/05/2019,-46.27,-101.28,-111.03,-102.07,-104.32,-93.91,-97.13,-98.84,-90.85
20/05/2019,-46.25,-101.28,-111.03,-102.07,-104.32,-93.91,-97.13,-98.56,-92.29
21/05/2019,-46.06,-101.24,-111.63,-102.08,-104.32,-94.11,-96.96,-98.56,-92.29
22/05/2019,-46.06,-101.24,-112.04,-102.08,-104.32,-94.11,-96.96,-98.56,-92.29
23/05/2019,-46.06,-101.24,-112.04,-102.08,-104.27,-94.11,-96.9,-98.56,-92.29
24/05/2019,-45.57,-101.21,-112.08,-102.03,-104.26,-94.11,-96.96,-98.55,-91.56
25/05/2019,-44.2,-101.2,-112.24,-101.95,-104.26,-93.89,-96.96,-98.54,-91.27
26/05/2019,-44.2,-101.2,-112.2,-101.95,-104.26,-93.89,-97.05,-98.52,-91.56
27/05/2019,-44.2,-101.2,-112.08,-101.95,-104.26,-93.89,-97.19,-98.5,-91.56
28/05/2019,-44.49,-101.2,-112.08,-102.0,-104.26,-93.89,-97.33,-98.43,-91.56
29/05/2019,-44.49,-101.2,-112.15,-102.03,-104.31,-93.89,-97.36,-98.12,-92.22
30/05/2019,-44.49,-101.02,-111.92,-102.05,-104.31,-93.67,-97.36,-98.12,-92.22
31/05/2019,-44.37,-101.02,-111.92,-102.05,-104.25,-93.67,-97.36,-98.15,-92.39
01/06/2019,-44.37,-101.02,-112.15,-102.05,-104.25,-93.67,-97.36,-98.15,-92.39
02/06/2019,-44.37,-101.02,-112.17,-102.05,-104.25,-93.67,-97.36,-98.12,-92.39
03/06/2019,-44.37,-101.02,-112.18,-102.05,-104.25,-93.67,-97.36,-98.09,-92.33
04/06/2019,-43.29,-101.11,-112.18,-102.05,-104.25,-93.71,-97.36,-98.09,-92.33
05/06/2019,-43.29,-101.19,-112.2,-102.11,-104.25,-93.75,-97.36,-98.09,-92.19
06/06/2019,-43.29,-101.25,-112.18,-102.11,-104.27,-93.85,-97.16,-98.09,-92.19
07/06/2019,-43.29,-101.27,-112.18,-102.11,-104.27,-93.85,-96.95,-98.09,-91.22
17/06/2019,-42.35,-101.16,-112.85,-101.33,-104.2,-93.9,-96.97,-98.6,-91.67
04/07/2019,-44.59,-102.99,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1
05/07/2019,-44.87,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1
06/07/2019,-45.16,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1
07/07/2019,-45.45,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1
08/07/2019,-45.51,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1
09/07/2019,-45.7,-101.15,-111.8,-101.59,-104.4,-93.86,-96.97,-98.34,-92.1
10/07/2019,-46.49,-101.04,-111.8,-101.46,-104.34,-93.86,-96.97,-98.55,-91.79
11/07/2019,-46.84,-101.04,-111.38,-101.46,-104.33,-93.86,-96.97,-98.6,-91.5
12/07/2019,-46.99,-101.04,-111.38,-101.46,-104.32,-94.11,-96.97,-98.6,-91.09
13/07/2019,-46.99,-101.04,-111.27,-101.62,-104.31,-94.11,-96.97,-98.6,-91.09
14/07/2019,-47.0,-101.04,-111.27,-101.78,-104.32,-94.11,-96.97,-98.73,-91.09
15/07/2019,-47.01,-101.04,-111.38,-101.94,-104.32,-94.11,-96.97,-99.01,-91.14
16/07/2019,-47.66,-101.04,-111.84,-102.04,-104.32,-94.11,-96.97,-99.11,-91.42
17/07/2019,-47.91,-101.04,-111.91,-102.04,-104.32,-94.11,-96.97,-99.12,-91.77
18/07/2019,-48.18,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-91.8
19/07/2019,-48.57,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
20/07/2019,-49.06,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
21/07/2019,-49.1,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
22/07/2019,-49.56,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
23/07/2019,-49.6,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
24/07/2019,-49.9,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
25/07/2019,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
26/07/2019,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
27/07/2019,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44
28/07/2019,-50.49,-101.04,-112.13,-102.04,-104.32,-93.92,-96.9,-99.0,-91.43
29/07/2019,-50.49,-101.04,-112.13,-102.4,-104.31,-93.92,-96.64,-98.83,-91.37
30/07/2019,-51.1,-101.15,-111.87,-102.4,-104.31,-93.92,-96.64,-98.83,-90.76
31/07/2019,-51.58,-101.15,-111.74,-102.4,-104.32,-93.92,-96.57,-98.83,-90.62
01/08/2019,-51.85,-101.15,-111.6,-102.4,-104.39,-93.92,-96.57,-98.83,-90.62
02/08/2019,-52.1,-101.15,-111.52,-102.4,-104.39,-93.92,-96.7,-98.83,-90.16
03/08/2019,-52.25,-101.15,-111.52,-102.4,-104.39,-93.92,-96.87,-99.2,-90.16
04/08/2019,-52.25,-101.15,-111.35,-102.4,-104.39,-93.92,-97.06,-99.05,-90.16
05/08/2019,-52.25,-101.15,-111.38,-102.4,-104.39,-93.92,-97.26,-99.05,-90.21
08/08/2019,-52.43,-101.15,-111.93,-102.4,-104.39,-93.92,-97.3,-99.88,-91.83
09/08/2019,-53.01,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.13
10/08/2019,-53.12,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.47
11/08/2019,-53.23,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.82
12/08/2019,-53.35,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.85
13/08/2019,-53.4,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.85
20/08/2019,-54.19,-101.15,-112.22,-102.4,-104.39,-93.92,-97.35,-99.7,-92.61
21/08/2019,-54.19,-101.15,-112.22,-102.4,-104.39,-93.92,-97.35,-99.47,-92.61
25/08/2019,-54.98,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.37,-92.2
26/08/2019,-54.98,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.79,-92.22
27/08/2019,-54.72,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.79,-92.25
28/08/2019,-47.26,-101.15,-112.16,-102.4,-104.39,-93.92,-97.27,-99.79,-92.68
01/09/2019,-47.24,-101.15,-111.83,-102.4,-104.39,-93.92,-97.27,-99.71,-92.36
02/09/2019,-47.24,-101.28,-111.73,-102.4,-104.39,-93.92,-97.27,-99.71,-92.36
03/09/2019,-47.44,-101.42,-111.67,-102.4,-104.39,-93.92,-97.27,-99.86,-92.36
04/09/2019,-47.5,-101.42,-111.57,-102.4,-104.39,-93.92,-97.27,-99.97,-92.33
05/09/2019,-47.59,-101.42,-111.44,-102.4,-104.4,-93.92,-97.27,-100.08,-92.62
06/09/2019,-47.68,-101.42,-110.63,-102.4,-104.42,-93.92,-97.27,-100.16,-92.85
12/09/2019,-48.41,-101.42,-108.87,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
13/09/2019,-48.71,-101.42,-108.29,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
14/09/2019,-49.93,-101.42,-108.16,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
15/09/2019,-52.18,-101.42,-108.02,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
16/09/2019,-52.63,-101.42,-108.0,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
17/09/2019,-52.63,-101.42,-108.0,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
18/09/2019,-52.63,-101.42,-108.0,-102.4,-104.47,-94.18,-97.27,-100.19,-93.42
16/03/2020,-47.36,-100.79,-112.99,-102.78,-104.52,-95.1,-96.51,-98.62,-91.09
17/03/2020,-47.36,-100.79,-112.92,-102.78,-104.52,-95.1,-96.57,-98.62,-91.09
18/03/2020,-47.36,-100.79,-112.92,-102.78,-104.52,-95.1,-96.57,-98.62,-91.09
19/03/2020,-47.36,-100.79,-112.9,-102.78,-104.52,-95.1,-96.57,-98.62,-91.09
29/03/2020,-45.64,-100.59,-113.75,-101.61,-104.5,-98.05,-96.3,-97.68,-90.73
31/03/2020,-45.64,-100.84,-113.71,-101.68,-104.52,-98.3,-96.35,-97.27,-91.18
15/04/2020,-44.14,-100.56,-114.29,-102.46,-104.45,-98.08,-95.92,-97.57,-90.69
16/04/2020,-44.89,-100.56,-114.29,-102.46,-104.45,-98.08,-95.88,-97.57,-90.43
20/04/2020,-45.62,-100.46,-114.4,-102.26,-104.42,-98.54,-95.85,-97.0,-90.42
21/04/2020,-45.71,-100.46,-114.37,-102.26,-104.41,-98.46,-95.85,-97.0,-90.42
29/04/2020,-46.35,-100.04,-114.55,-102.09,-104.38,-98.64,-95.8,-97.0,-90.42
30/04/2020,-46.35,-100.01,-114.55,-102.09,-104.38,-98.64,-95.79,-97.0,-90.42
01/05/2020,-46.35,-100.01,-114.55,-102.09,-104.38,-98.58,-95.79,-97.0,-90.48
02/05/2020,-46.0,-100.21,-114.55,-102.09,-104.4,-98.58,-95.79,-97.0,-90.48
03/05/2020,-46.0,-100.27,-114.5,-102.09,-104.38,-98.58,-95.8,-97.0,-90.48
04/05/2020,-46.0,-100.27,-114.5,-102.09,-104.38,-98.56,-95.84,-97.0,-90.48
05/05/2020,-46.47,-100.41,-114.48,-102.04,-104.36,-98.56,-95.93,-97.0,-90.48
06/05/2020,-46.83,-100.41,-114.48,-101.98,-104.36,-98.55,-95.97,-97.54,-90.5
07/05/2020,-47.33,-100.52,-114.48,-101.98,-104.36,-98.54,-96.1,-97.54,-90.51
08/05/2020,-47.83,-100.52,-114.48,-101.98,-104.36,-98.54,-96.22,-97.54,-90.51
09/05/2020,-47.83,-100.52,-114.48,-101.98,-104.36,-98.53,-96.25,-97.54,-90.51
10/05/2020,-47.83,-100.52,-114.48,-101.98,-104.37,-98.51,-96.25,-97.54,-90.51
11/05/2020,-47.87,-100.52,-114.48,-101.98,-104.35,-98.5,-96.25,-97.54,-90.51
12/05/2020,-48.1,-100.56,-114.48,-101.98,-104.35,-98.22,-96.41,-97.52,-90.51
13/05/2020,-48.2,-100.59,-114.46,-102.29,-104.35,-98.22,-96.41,-96.92,-90.45
14/05/2020,-48.63,-100.59,-114.46,-102.29,-104.35,-98.22,-96.41,-96.91,-90.45
15/05/2020,-48.72,-100.24,-114.4,-102.29,-104.35,-99.08,-96.41,-96.91,-90.54
16/05/2020,-49.13,-100.23,-114.4,-102.21,-104.36,-99.08,-96.49,-96.91,-90.54
01/06/2020,-50.37,-100.4,-102.04,-101.99,-104.33,-99.23,-95.94,-96.92,-90.68
02/06/2020,-50.37,-100.4,-102.06,-101.99,-104.33,-98.72,-96.02,-97.99,-90.33
05/06/2020,-51.05,-100.44,-102.02,-102.26,-104.33,-98.7,-96.14,-97.99,-90.33
06/06/2020,-51.05,-100.39,-101.84,-102.26,-104.33,-98.67,-96.5,-97.99,-90.33
07/06/2020,-51.55,-100.39,-101.39,-102.29,-104.33,-98.185,-96.6,-97.28,-90.42
13/06/2020,-46.79,-100.3,-100.89,-101.43,-104.12,-97.79,-96.43,-97.7,-90.32
14/06/2020,-48.31,-100.28,-100.8,-101.43,-104.21,-97.36,-96.44,-97.7,-90.32
15/06/2020,-48.86,-100.3,-100.845,-101.48,-104.245,-97.83,-96.21,-97.72,-90.37
16/06/2020,-48.86,-100.3,-101.0,-101.43,-104.19,-97.86,-96.19,-97.67,-90.67
17/06/2020,-49.36,-100.35,-101.11,-101.5,-104.27,-97.89,-96.41,-97.74,-90.78
18/06/2020,-49.36,-100.35,-101.15,-101.5,-104.31,-97.87,-96.2,-97.74,-90.78
19/06/2020,-49.81,-100.35,-101.16,-101.49,-104.3,-97.92,-96.06,-97.74,-90.22
20/06/2020,-49.82,-100.35,-100.955,-101.49,-104.33,-97.91,-96.26,-97.74,-90.22
21/06/2020,-49.82,-100.35,-101.09,-101.49,-104.3,-97.85,-96.09,-97.74,-90.22
22/06/2020,-49.82,-100.35,-100.89,-101.49,-104.3,-97.9,-96.25,-97.74,-91.01
23/06/2020,-49.82,-100.35,-100.97,-101.49,-104.3,-98.39,-96.29,-97.74,-90.59
24/06/2020,-49.82,-100.35,-100.78,-101.49,-104.3,-98.28,-96.2,-97.74,-90.44
25/06/2020,-50.12,-100.35,-100.92,-101.41,-104.31,-98.28,-96.57,-97.74,-90.62
26/06/2020,-50.32,-100.35,-100.88,-101.49,-104.31,-97.94,-96.59,-97.74,-90.62
27/06/2020,-50.32,-100.56,-100.84,-101.59,-104.3,-97.96,-96.44,-97.78,-90.54
28/06/2020,-50.32,-100.56,-100.92,-101.59,-104.3,-98.46,-96.44,-97.78,-90.54
29/06/2020,-50.32,-100.56,-101.19,-101.59,-104.3,-98.46,-96.1,-97.78,-90.83
30/06/2020,-50.78,-100.56,-101.235,-101.59,-104.3,-98.47,-96.1,-97.78,-90.83
